JOS	10	20	des réchappés leur échappèrent et entrèrent dans les villes fortifiées	fin	incise
JOS	11	2	Génézareth	Kinnéreth	glose
JOS	12	4	géants	Rephaïtes	glose
JOS	12	23	nations	Goïm	glose
JOS	13	12	il était demeuré du reste des Réphaïtes	Edréhi,	incise
JOS	13	17	hauts lieux de Baal	Bamoth-Baal	glose
JOS	14	15	cité d'Arba	Kiriath-Arba	glose
JOS	15	7	la source du soleil	Ain-schémesch	glose
JOS	15	7	la source du foulon	Ain-roguel	glose
JOS	15	8	c'est Jérusalem	Jébusiens	incise
JOS	15	13	c'est Hébron	d'Anak,	incise
JOS	15	54	c'est Hébron	Kiriath-Arba	incise
JOS	15	62	la ville du sel	Ir-hammélach	glose
JOS	18	13	c'est Béthel	Louz	incise
JOS	18	28	c'est Jérusalem	Jébus	incise
JOS	21	10	car le premier sort fut pour eux	Lévi	incise
JOS	21	11	c'est Hébron	d'Anak,	incise
JDG	1	17	anathème	Korma	glose
JDG	2	5	les pleurants	Bokim	glose
JDG	3	8	Mésopotamie	fleuves	glose
JDG	4	11	Et Héber, le Kénite, s'était séparé des Kénites , fils de Hobab, beau-père de Moïse, et il avait tendu sa tente jusqu'au chêne, à Tsahanaïm, qui est près de Kédesch.		incise
JDG	6	24	l'Eternel de paix	Jéhova-schalom	glose
JDG	6	32	que Baal plaide	Jeroubbaal	glose
JDG	10	6	Syrie	d'Aram	glose
JDG	15	17	la colline de la mâchoire	Ramath-Lékhi	glose
JDG	15	19	la source de celui qui crie	Ain-hakoré	glose
JDG	18	12	le camp de Dan	Mahané-Dan	glose
JDG	19	10	c'est Jérusalem	Jébus	incise
RUT	1	20	mes délices	Naomi	glose
RUT	1	20	amertume	Mara	glose
1SA	1	9	et Eli, le sacrificateur, était assis sur un trône contre un poteau de la porte du palais de l'Eternel	bu	incise
1SA	1	20	demandé à Dieu	Samuel	glose
1SA	3	2	or ses yeux commençaient à devenir troubles, il ne pouvait plus voir	lieu	incise
1SA	4	21	privé de gloire ?	I-cabod	glose
1SA	7	12	la pierre du secours	d'Ebenézer	glose
1SA	9	9	Précédemment, en Israël, quand on allait pour consulter Dieu, on disait ainsi : Venez, et allons au Voyant ; car le Prophète d'aujourd'hui s'appelait précédemment le Voyant.		incise
1SA	9	27	et il passa	nous	incise
1SA	23	28	Rocher des séparations	Séla-mahlecoth	glose
1SA	25	25	infâme	Nabal	glose
2SA	2	16	le champ des tranchants	Helkath-hatsourim	glose
2SA	5	7	c'est la ville de David	Sion	incise
2SA	5	20	maître des ruptures	Baal-peratsim	glose
2SA	6	8	brèche d'Ouzza	Péretz-Ouzza	glose
2SA	11	4	or elle s'était sanctifiée de sa souillure	elle	incise
2SA	12	25	chéri de l'Eternel	Jédidia	glose
2SA	12	30	elle pesait un talent en or et en pierres précieuses	tête	incise
2SA	14	26	et c'était d'année en année qu'il la rasait, car [sa chevelure] lui pesait et il la rasait	tête	incise
2SA	15	17	la maison d'éloignement	Beth-merkhak	glose
2SA	15	24	et Abiathar monta aussi	Dieu	incise
2SA	19	26	car ton esclave est boiteux	roi	incise
2SA	21	2	les Gabaonites n'étaient point d'entre les fils d'Israël, mais du reste des Amoréens, et les fils d'Israël s'étaient liés à eux par serment, et Saül avait cherché à les frapper, dans sa jalousie pour les fils d'Israël et de Juda	dit	incise
2SA	23	11	et le peuple avait fui devant les Philistins	lentilles	incise
1KI	2	17	car il ne te repoussera pas	Salomon	incise
1KI	2	28	car Joab s'était détourné après Adonija, quoiqu'il ne se fût pas  détourné après Absalom	Joab	incise
1KI	3	26	car ses entrailles étaient brûlantes pour son fils, et elle dit	roi	incise
1KI	4	11	Taphath, fille de Salomon, fut sa femme	Dor	incise
1KI	4	15	lui aussi prit pour femme une fille de Salomon, Basmath	Nephtali	incise
1KI	6	1	c'est le second mois	Ziv	incise
1KI	6	38	c'est le huitième mois	Boul	incise
1KI	7	21	Il affermira	Jakin	glose
1KI	7	21	en Lui la force	Bohaz	glose
1KI	8	2	c'est le septième mois	d'Ethanim	incise
1KI	8	39	car toi, toi seul, tu connais le cœur de tous les fils de l'homme	cœur	incise
1KI	8	42	car ils entendront [parler] de ton grand Nom, et de ta main forte, et de ton bras étendu		incise
1KI	8	46	car il n'y a point d'homme qui ne pèche	toi	incise
1KI	9	13	comme rien	Caboul	glose
1KI	11	26	sa mère, qui était veuve, se nommait Tséroua	Tseréda	incise
1KI	15	20	Génézareth	Kinneroth	glose
1KI	19	15	Syrie	Aram	glose
1KI	20	1	Syrie	d'Aram	glose
1KI	20	12	il était à boire, lui et les rois, sous les feuillées	parole	incise
1KI	21	4	il avait dit : Je ne te donnerai pas l'héritage de mes pères	d'Izréel	incise
2KI	1	16	est-ce faute de Dieu en Israël, pour consulter sa parole ?	d'Ekron	incise
2KI	2	18	il habitait à Jéricho	Elisée	incise
2KI	4	3	n'en prends pas peu	vides	incise
2KI	5	1	Syrie	d'Aram	glose
2KI	13	6	Toutefois ils ne se détournèrent point des péchés de la maison de Jéroboam, par lesquels il avait fait pécher Israël ; ils y marchèrent, et même l'Aschère resta debout à Samarie		incise
2KI	17	16	les deux veaux	fonte	incise
2KI	18	4	morceau d'airain	Nekouschtan	glose
2KI	19	24	l'Egypte	Matsor	glose
2KI	25	8	c'était la dix-neuvième année du règne de Nébucadnetsar, roi de Babylone	mois	incise
2KI	25	23	Jean	Johanan	glose
1CH	1	8	Egypte	Mitsraïm	glose
1CH	1	12	d'où sont sortis les Philistins	Casloukites	incise
1CH	1	19	partage	Péleg	glose
1CH	1	27	c'est Abraham	Abram	incise
1CH	2	7	perturbateur	Acar	glose
1CH	2	9	Caleb	Keloubaï	glose
1CH	2	21	il était âgé de soixante ans	prit	incise
1CH	3	15	Jean	Johanan	glose
1CH	3	19	Ananias	Kanania	glose
1CH	4	9	travail	Jahbets	glose
1CH	4	17	Marie	Miriam	glose
1CH	7	23	dans le malheur	Briha	glose
1CH	7	27	Jésus	Josué	glose
1CH	8	12	celui-ci bâtit Ono, et Lod avec les lieux de son ressort	Schémer	incise
1CH	11	4	c'est Jébus	Jérusalem	incise
1CH	11	5	c'est la ville de David	Sion	incise
1CH	11	13	et le peuple avait fui devant les Philistins	d'orge	incise
1CH	13	6	à Kiriath-jearim	Baala	incise
1CH	13	11	brèche d'Ouzza	Pérets-Ouzza	glose
1CH	14	11	maître des ruptures	Baal-peratsim	glose
1CH	19	6	Mésopotamie	fleuves	glose
1CH	20	2	et il la trouva du poids d'un talent d'or, et il y avait des pierres précieuses	tête	incise
1CH	21	20	Ornan foulait du froment	lui	incise
1CH	22	9	le pacifique	Salomon	glose
1CH	24	10	Abia	Abija	glose
1CH	26	10	car, bien qu'il ne fût pas le premier-né, son père le mit pour chef	chef	incise
1CH	26	31	quant aux Hébronites, on en fit la recherche selon leurs générations, selon [leurs] pères, dans la quarantième année du règne de David, et il se trouva parmi eux des hommes forts et vaillants, à Jahzer de Galaad	Hébronites	incise
1CH	27	24	il n'acheva pas	compter	incise
1CH	28	5	car l'Eternel m'a donné un grand nombre de fils	fils	incise
2CH	2	16	Joppe	Japho	glose
2CH	3	17	Il affermira	Jakin	glose
2CH	3	17	en Lui la force	Boaz	glose
2CH	5	3	c'était le septième mois	fête	incise
2CH	5	11	car tous les sacrificateurs qui se trouvaient [présents] s'étaient sanctifiés sans observer les divisions	saint,	incise
2CH	6	30	car tu connais, toi seul, le cœur des fils de l'homme	cœur	incise
2CH	6	36	car il n'y a point d'homme qui ne pèche	toi	incise
2CH	10	2	il était en Egypte, où il s'était enfui de devant le roi Salomon	appris	incise
2CH	12	2	parce qu'ils avaient prévariqué contre l'Eternel	Jérusalem	incise
2CH	12	3	Lybiens	Loubites	glose
2CH	20	2	c'est Ain-guédi	Katsatson-thamar	incise
2CH	20	10	car il se détourna d'eux et ne les détruisit pas	d'Egypte	incise
2CH	20	26	bénédiction	Beraka	glose
2CH	24	25	car ils le laissèrent dans de grandes souffrances	lui,	incise
EZR	1	8	Zorobabel	Scheschbatsar	glose
EZR	2	2	Jésus	Jésué	glose
EZR	2	9	Zachée	Zaccaï	glose
EZR	2	63	lumières et perfections	Thoummim	glose
EZR	3	7	Joppe	Japho	glose
EZR	8	33	et avec lui était Eléazar, fils de Phinées, et avec eux Jozabad, fils de Jésué, et Noadia, fils de Binnouï, Lévites	sacrificateur	incise
EZR	10	23	c'est Kélita	Kélaïa	incise
NEH	6	6	Guéschem	Gaschmou	glose
NEH	6	10	et il s'était enfermé	Méhétabéel	incise
NEH	7	2	car c'était un homme de vérité et craignant Dieu, plus que beaucoup [d'autres]	Jérusalem	incise
NEH	7	65	lumières et perfections	Thoummim	glose
NEH	8	9	car tout le peuple pleurait en entendant les paroles de la loi	pas	incise
EST	1	1	l'Ethiopie	Cusch	glose
EST	2	7	c'est Esther	Hadassa	incise
EST	2	16	c'est le mois de Tébeth	mois	incise
EST	3	7	c'est le mois de Nisan	mois	incise
EST	3	7	c'est-à-dire le sort	Pour	glose
EST	3	7	c'est le mois d'Adar	mois	incise
EST	3	13	c'est le mois d'Adar	mois	incise
EST	8	9	c'est le mois de Sivan	mois	incise
EST	8	12	c'est le mois d'Adar	mois	incise
EST	9	1	c'est le mois d'Adar	mois	incise
JOB	14	14	quand l'homme est mort, revivra-t-il ?		incise
JOB	19	28	pendant que le principe [qui décide] la cause  se trouve chez moi !	?	incise
PSA	3	2	Sélah.	Dieu.	incise
PSA	3	4	Sélah.	sainteté.	incise
PSA	3	8	Sélah.	peuple.	incise
PSA	4	2	Sélah.	?	incise
PSA	4	4	Sélah.	silence.	incise
PSA	7	5	Sélah.	poussière.	incise
PSA	9	16	Higaïon. Sélah.	mains.	incise
PSA	9	20	Sélah.	mortels.	incise
PSA	20	3	Sélah.	holocauste.	incise
PSA	21	2	Sélah.	!	incise
PSA	24	6	Sélah.	Jacob.	incise
PSA	24	10	Sélah.	gloire.	incise
PSA	32	4	Sélah.	tarie.	incise
PSA	32	5	Sélah.	péché.	incise
PSA	32	7	Sélah.	délivrance.	incise
PSA	39	5	Sélah.	souffle.	incise
PSA	39	11	Sélah.	souffle.	incise
PSA	44	8	Sélah.	nom.	incise
PSA	46	3	Sélah.	orgueil.	incise
PSA	46	7	Sélah.	!	incise
PSA	46	11	Sélah.	retraite.	incise
PSA	47	4	Sélah.	bien-aimé.	incise
PSA	48	8	Sélah.	l'éternité.	incise
PSA	49	13	Sélah.	bouche.	incise
PSA	49	15	Sélah.	prendra.	incise
PSA	50	6	Sélah.	juge.	incise
PSA	52	3	Sélah.	justice.	incise
PSA	52	5	Sélah.	vivants.	incise
PSA	54	3	Sélah.	eux.	incise
PSA	55	7	Sélah.	désert.	incise
PSA	55	19	car il siége dès les jours d'autrefois	répondra	incise
PSA	55	19	Sélah,	d'autrefois),	incise
PSA	57	3	Sélah.	outrages.	incise
PSA	57	6	Sélah.	tombés.	incise
PSA	59	5	Sélah.	scélérats.	incise
PSA	59	13	Sélah.	Jacob.	incise
PSA	60	4	Sélah.	.	incise
PSA	61	4	Sélah.	ailes.	incise
PSA	62	4	Sélah.	maudissent.	incise
PSA	62	8	Sélah.	refuge.	incise
PSA	66	4	Sélah.	nom.	incise
PSA	66	7	Sélah.	s'élever.	incise
PSA	66	15	Sélah.	boucs.	incise
PSA	67	1	Sélah.	;	incise
PSA	67	4	Sélah.	terre.	incise
PSA	68	7	Sélah.	solitude,	incise
PSA	68	19	Sélah.	salut.	incise
PSA	68	32	Sélah.	cantiques.	incise
PSA	75	3	Sélah.	colonnes.	incise
PSA	76	3	Sélah.	guerre.	incise
PSA	76	9	Sélah.	terre.	incise
PSA	77	3	Sélah.	défaillance.	incise
PSA	77	9	Sélah.	?	incise
PSA	77	15	Sélah.	Joseph.	incise
PSA	81	7	Sélah.	Mériba.	incise
PSA	82	2	Sélah.	?	incise
PSA	83	8	Sélah.	Lot.	incise
PSA	84	4	Sélah.	encore.	incise
PSA	84	6	des larmes	Baca	glose
PSA	84	8	Sélah.	!	incise
PSA	85	2	Sélah.	péchés.	incise
PSA	87	3	Sélah.	Dieu.	incise
PSA	87	6	Sélah.	là.	incise
PSA	88	7	Sélah.	vagues.	incise
PSA	88	10	Sélah.	?	incise
PSA	89	4	Sélah.	âges.	incise
PSA	89	37	Sélah.	fidèle.	incise
PSA	89	45	Sélah.	confusion.	incise
PSA	89	48	Sélah.	?	incise
PSA	92	1	repos	sabbat	glose
PSA	95	8	contestation	Mériba	glose
PSA	95	8	tentation	Massa	glose
PSA	140	3	Sélah.	lèvres.	incise
PSA	140	5	Sélah.	pièges.	incise
PSA	140	8	Sélah.	s'élèverait.	incise
PSA	143	6	Sélah.	toi.	incise
ECC	2	12	car que fera l'homme qui viendra après le roi ? Ce qui s'est déjà fait.	;	incise
ECC	8	16	car ni jour ni nuit [l'homme] ne voit de ses yeux le sommeil	terre	incise
ECC	11	8	car ils seront nombreux	ténèbres	incise
ISA	4	3	quiconque sera écrit pour la vie dans Jérusalem	saint	incise
ISA	7	1	Syrie	d'Aram	glose
ISA	7	3	le reste reviendra	Schear-Jaschoub	glose
ISA	7	14	Dieu avec nous	d'Emmanuel	glose
ISA	8	3	qu'on hâte le butin, on presse le pillage	Maher-schalal-hasch-baz	incise
ISA	8	8	Dieu avec nous	Emmanuel	glose
ISA	19	6	l'Egypte	Matsor	glose
ISA	19	18	ville du renversement	Ir-hahérès	glose
ISA	21	11	silence	Douma	glose
ISA	29	1	lion de Dieu	Ariel	glose
ISA	29	2	lion de Dieu	Ariel	glose
ISA	29	10	les prophètes	yeux	glose
ISA	29	10	les voyants	têtes	glose
ISA	30	7	grand bruit	Rahab	glose
ISA	37	25	l'Egypte	Matsor	glose
ISA	44	7	qu'on me le déclare et qu'on me l'expose !	moi	incise
ISA	48	11	car comment [mon nom] serait-il profané ?	j'agis	incise
ISA	49	3	vainqueur de Dieu	Israël	glose
ISA	51	3	lieu de plaisir	Eden	glose
ISA	52	14	tellement il était défait de visage plus qu'aucun homme, et d'aspect, plus que les fils des hommes	sujet	incise
ISA	62	4	mon bon plaisir en elle	Kephtsiba	glose
ISA	62	4	mariée	Behoula	glose
ISA	62	12	recherchée	Derouscha	glose
JER	8	19	Pourquoi m'ont-ils provoqué par leurs images taillées, par les vanités de l'étranger ?	…	incise
JER	12	16	pour jurer par mon nom : L'Eternel est vivant ! comme ils enseignèrent mon peuple à jurer par Baal	peuple	incise
JER	20	1	il était préposé-conducteur dans la Maison de l'Eternel	sacrificateur	incise
JER	20	3	frayeur de toutes parts	Magor-missabib	glose
JER	23	33	ce peuple, ou le prophète, ou un sacrificateur	t'interroge	incise
JER	25	1	c'est la première année de Nébucadretsar, roi de Babylone	Juda	incise
JER	25	26	Babylone	Scésçac	glose
